Header:
MFRSR SPECTRAL RESPONSE TEST:

Instrument Data:
Serial_number	Vis469
Instrument_rev	Yes_Mk1
Owner	DOE-ARM

Test_Conditions_Data:
Testing_agency	DOE-ARM_SRMS
Test_System_rev	D
Test_date	5/25/2016
Test_day	146	[Day_of_year]
Test_conductor	Craig Webb
Source_Type	175 watt Xenon_ARC
Monochromator_slit	85	microns
Wavelength_registration_line	361.1652	[nm]
Wavelength_registration_position	431533	[steps]

Comment:	From Japan/Mike Reynolds

Channel	Wavelength	Signal	
900	511.25	-4.278532E-05	5.529019E-06
900	511.5	-4.400382E-05	4.313604E-06
900	511.75	-4.282115E-05	4.132127E-06
900	512	-3.966736E-05	4.490436E-06
900	512.25	-3.558177E-05	5.231229E-06
900	512.5	-3.948816E-05	4.094725E-06
900	512.75	-3.99899E-05	3.924233E-06
900	513	-3.823381E-05	6.281642E-06
900	513.25	-3.640604E-05	5.215229E-06
900	513.5	-5.597383E-05	4.589436E-06
900	513.75	-4.142343E-05	4.820874E-06
900	514	-4.206851E-05	4.961435E-06
900	514.25	-4.389627E-05	4.490544E-06
900	514.5	-5.142233E-05	6.789574E-06
900	514.75	-4.547315E-05	3.824129E-06
900	515	-4.651246E-05	4.994003E-06
900	515.25	-4.188931E-05	3.001741E-06
900	515.5	-4.378875E-05	5.449904E-06
900	515.75	-4.128004E-05	4.873206E-06
900	516	-5.074138E-05	4.158286E-06
900	516.25	-4.755176E-05	4.623342E-06
900	516.5	-4.593901E-05	4.167986E-06
900	516.75	-3.149613E-05	4.772329E-06
900	517	-3.468576E-05	3.984391E-06
900	517.25	-4.970205E-05	5.058917E-06
900	517.5	-4.540145E-05	3.04493E-06
900	517.75	-4.063493E-05	6.317123E-06
900	518	-5.01321E-05	5.395251E-06
900	518.25	-4.615404E-05	3.998138E-06
900	518.5	-4.644073E-05	5.48316E-06
900	518.75	-4.124417E-05	4.530026E-06
900	519	-3.72661E-05	4.864863E-06
900	519.25	-4.15667E-05	5.93969E-06
900	519.5	-4.991704E-05	5.887103E-06
900	519.75	-3.719441E-05	5.651985E-06
900	520	-4.701414E-05	5.310389E-06
900	520.25	-4.432624E-05	4.172551E-06
900	520.5	-3.343138E-05	5.447656E-06
900	520.75	-3.930887E-05	3.933197E-06
900	521	-2.870072E-05	4.18442E-06
900	521.25	-3.69077E-05	2.967188E-06
900	521.5	-3.246374E-05	3.450673E-06
900	521.75	-4.819678E-05	4.243246E-06
900	522	-3.543832E-05	3.780962E-06
900	522.25	-4.049154E-05	3.957072E-06
900	522.5	-4.22476E-05	6.693273E-06
900	522.75	-3.830539E-05	4.137502E-06
900	523	-4.42904E-05	2.978253E-06
900	523.25	-4.328692E-05	4.42863E-06
900	523.5	-4.328692E-05	5.364728E-06
900	523.75	-3.128107E-05	4.115279E-06
900	524	-4.224761E-05	4.112122E-06
900	524.25	-3.998979E-05	3.76591E-06
900	524.5	-4.049153E-05	5.302613E-06
900	524.75	-4.153084E-05	6.03419E-06
900	525	-3.783949E-05	4.991093E-06
900	590	-4.56881E-05	4.635835E-06
900	590.25	-3.092269E-05	4.479877E-06
900	590.5	-3.325218E-05	6.477933E-06
900	590.75	-3.830539E-05	6.85898E-06
900	591	-2.300241E-05	5.149418E-06
900	591.25	-3.637012E-05	4.434861E-06
900	591.5	-2.608451E-05	5.418711E-06
900	591.75	-3.809037E-05	5.617704E-06
900	592	-4.486383E-05	5.156979E-06
900	592.25	-1.949024E-05	3.963398E-06
900	592.5	-3.045679E-05	5.123036E-06
900	592.75	-2.948917E-05	4.322568E-06
900	593	-3.371809E-05	3.674323E-06
900	593.25	-3.898633E-05	5.690986E-06
900	593.5	-3.418398E-05	6.763152E-06
900	593.75	-2.314574E-05	5.449823E-06
900	594	-3.120939E-05	5.812082E-06
900	594.25	-3.69077E-05	4.710713E-06
900	594.5	-3.278629E-05	4.226009E-06
900	594.75	-3.092269E-05	5.910474E-06
900	595	-3.346722E-05	5.382708E-06
900	595.25	-4.020483E-05	4.823691E-06
900	595.5	-2.766139E-05	6.269715E-06
900	595.75	-3.561751E-05	4.008152E-06
900	596	-4.228346E-05	6.227096E-06
900	596.25	-2.784059E-05	5.159874E-06
900	596.5	-3.873544E-05	5.115006E-06
900	596.75	-3.206951E-05	4.571933E-06
900	597	-3.264293E-05	2.742488E-06
900	597.25	-3.705105E-05	3.629598E-06
900	597.5	-3.683601E-05	4.608557E-06
900	597.75	-2.891573E-05	3.225453E-06
900	598	-3.547415E-05	5.823193E-06
900	598.25	-3.873544E-05	2.911866E-06
900	598.5	-4.059903E-05	5.078366E-06
900	598.75	-3.615507E-05	4.335092E-06
900	599	-3.203366E-05	6.145432E-06
900	599.25	-3.038509E-05	5.572991E-06
900	599.5	-3.490073E-05	4.599892E-06
900	599.75	-3.669264E-05	3.825091E-06
900	600	-3.045677E-05	4.841112E-06
900	600.25	-4.536552E-05	6.186336E-06
900	600.5	-3.916548E-05	4.994034E-06
900	600.75	-2.78764E-05	3.780094E-06
900	601	-3.067178E-05	6.254327E-06
900	601.25	-2.991918E-05	5.721005E-06
900	601.5	-3.651343E-05	4.64647E-06
900	601.75	-3.9273E-05	2.545869E-06
900	602	-3.049258E-05	5.313202E-06
900	602.25	-4.386029E-05	4.96941E-06
900	602.5	-3.880708E-05	3.828817E-06
900	602.75	-3.637007E-05	5.251673E-06
900	603	-3.798279E-05	4.481909E-06
900	603.25	-1.992026E-05	5.47535E-06
900	603.5	-3.848453E-05	5.542185E-06
900	603.75	-3.45423E-05	4.387459E-06
900	604	-3.823366E-05	4.942572E-06
900	604.25	-3.382554E-05	4.960067E-06
900	604.5	-4.332268E-05	5.161244E-06
900	604.75	-3.984637E-05	5.091089E-06
900	605	-4.016891E-05	6.250052E-06
900	605.25	-3.52949E-05	5.066572E-06
